HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"4104.11.20.00","4","Other","[""m<sup>2<\/sup>""]","2.4%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","15%","",""
"","3","Other:","","","","","",""
"4104.11.30","4","Buffalo","","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4104.11.30.10","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.11.30.60","5","Other","[""m<sup>2<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"4104.11.40","5","Upper leather; sole leather","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4104.11.40.10","6","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.11.40.60","6","Other","[""m<sup>2<\/sup>""]","","","","",""
"4104.11.50","5","Other","","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","6","Wet blues:","","","","","",""
"4104.11.50.30","7","Not split","[""pcs"",""kg""]","","","","",""
"","7","Split:","","","","","",""
"4104.11.50.40","8","Grains","[""pcs""]","","","","",""
"4104.11.50.70","8","Other","[""kg""]","","","","",""
"4104.11.50.80","6","Other","[""kg""]","","","","",""
"4104.19","2","Other:","","","","","",""
"","3","Whole bovine leather, of a unit surface area not exceeding 28 square feet (2.6 m<sup>2</sup>):","","","","","",""
"4104.19.10","4","Upper leather; lining leather","","Free","","15%","",""
"4104.19.10.20","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.19.10.40","5","Lining leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.19.20.00","4","Other","[""m<sup>2<\/sup>""]","2.4%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","15%","",""
"","3","Other:","","","","","",""
"4104.19.30.00","4","Buffalo","[""m<sup>2<\/sup>""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","4","Other:","","","","","",""
"4104.19.40","5","Upper leather; sole leather","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4104.19.40.10","6","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.19.40.60","6","Other","[""m<sup>2<\/sup>""]","","","","",""
"4104.19.50","5","Other","","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","6","Wet blues:","","","","","",""
"4104.19.50.30","7","Not split","[""pcs"",""kg""]","","","","",""
"","7","Split:","","","","","",""
"4104.19.50.40","8","Grains","[""pcs""]","","","","",""
"4104.19.50.70","8","Other","[""kg""]","","","","",""
